num,nombre,partido,eleccion,estado,camara,propietario,twitter,facebook,youtube,pagina_personal,twitter_avatar
93,"Cárdenas Cantú Miriam","PRI","Representación Proporcional","Coahuila","D","PROPIETARIO","MiriamCardenasC","miriam.cardenascantu","","","http://pbs.twimg.com/profile_images/448195601717415938/7awBAAeF_bigger.jpeg"
94,"Cárdenas Del Avellano Enrique","PRI","Mayoría Relativa","Tamaulipas","D","PROPIETARIO","cardenasenrique","enrique.cardenasdelavellanoii","EnriqueCardenas2012","www.enriquecardenas.org.mx","http://pbs.twimg.com/profile_images/3086991815/98c5529dc4fa6dd45a8dc9d98f771d2b_bigger.jpeg"
95,"Cárdenas Guízar Gabriel de Jesús","PAN","Mayoría Relativa","Veracruz","D","PROPIETARIO","CardenasGabriel","gabriel.cardenasguizar","Gabriel Cárdenas de Jesús Guízar","","http://pbs.twimg.com/profile_images/413025157884555265/v8BBs-EY_bigger.jpeg"
96,"Carpinteyro Calderón Purificación","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","Puri2010","puricarpinteyro","puricarpinteyro","",
97,"Carreño Mijares Angelina","PRI","Mayoría Relativa","México","D","PROPIETARIO","AngelinaCM_","Angelina-Carreño-Mijares","Angelina CM","","http://pbs.twimg.com/profile_images/459073176077467649/6KfYSSGW_bigger.jpeg"
98,"Carreño Muro Genaro","PAN","Mayoría Relativa","Guanajuato","D","PROPIETARIO","Genaro_Carreno","GenaroCarreno","GenaroCarreno","www.genarocarreno.com","http://pbs.twimg.com/profile_images/430404092704223232/sIuzQd_0_bigger.jpeg"
99,"Carreón Cervantes Verónica","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","Vero_Carreon","Vero.Carreon.Cervantes","","","http://pbs.twimg.com/profile_images/378800000675806613/e5072552d72f0e05cca66e19636e7504_bigger.jpeg"
100,"Carrillo Huerta Mario Miguel","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","mariocarrillomx","MarioCarrilloHuerta","","","http://pbs.twimg.com/profile_images/2027432028/foto_seleccion_dr._bigger.jpg"
101,"Castaños Valenzuela Carlos Humberto","PAN","Representación Proporcional","Sinaloa","D","PROPIETARIO","carloscastanos","","","www.carloscastanos.com/","http://pbs.twimg.com/profile_images/378800000675948590/88b5bb47bf415fa51f6af29635b5347f_bigger.jpeg"
102,"Castillo Rodríguez Minerva","PRI","Mayoría Relativa","Chihuahua","D","PROPIETARIO","minervacr1","minervacastillorodriguez","","http://minervadiputada.blogspot.mx/","http://pbs.twimg.com/profile_images/3578077837/29a2a4de80d420fcc889564dd22a32ff_bigger.jpeg"
103,"Castillo Valdez Benjamín","PRI","Mayoría Relativa","Baja California","D","PROPIETARIO","","Benjamin-Castillo-Valdez","","http://benjamincastillo.mx/",
104,"Castro Trenti Fernando Jorge","PRI","Representación Proporcional","Baja California","D","PROPIETARIO","FCastroTrenti","CastroTrenti","","","http://pbs.twimg.com/profile_images/449395300059205632/j2tGsnF3_bigger.png"
105,"Cedillo Hernández Ángel","PRD","Representación Proporcional","México","D","PROPIETARIO","","angel.cedillohernandez","","",
106,"Cerda Franco María Sanjuana","PANAL","Representación Proporcional","Nuevo León","D","PROPIETARIO","sanjuanitacerda","","","","http://pbs.twimg.com/profile_images/443493797121368064/oL_S17ni_bigger.jpeg"
107,"Ceseñas Chapa María del Socorro","PRD","Representación Proporcional","Nuevo León","D","PROPIETARIO","socorrocesenas","socorrocesenaschapa","","","http://pbs.twimg.com/profile_images/3511686719/e8a19749a4496ed651277cd9bf09e5eb_bigger.jpeg"
108,"Chan Lugo Sergio Augusto","PAN","Representación Proporcional","Yucatán","D","PROPIETARIO","DipChanLugo","sergio.chan.14","","","http://pbs.twimg.com/profile_images/417798979582054400/C6b124ne_bigger.jpeg"
109,"Charleston Hernández Fernando","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","fercharleston","FernandoCharleston","fercharleston","","http://pbs.twimg.com/profile_images/378800000340025263/31aaf7212dc8179e8be4133a5b02adf9_bigger.jpeg"
110,"Chávez Dávalos Sergio Armando","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","SergioChavez_D","sergio.chavezdavalos","","","http://pbs.twimg.com/profile_images/457201732599025664/Z8NPJ2Vy_bigger.png"
111,"Contreras Ceballos Armando","PRD","Mayoría Relativa","Michoacán","D","PROPIETARIO","","armando.contrerasceballos","","",
112,"Copete Zapot Yazmín de los Angeles","PRD","Representación Proporcional","Veracruz","D","PROPIETARIO","","","","",
113,"Córdova Bernal Martha Beatriz","MC","Representación Proporcional","Chihuahua","D","PROPIETARIO","","","","",
114,"Córdova Díaz Luis Armando","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","","dipluiscordova","","",
115,"Córdova Morán Frine Soraya","PRI","Representación Proporcional","Puebla","D","PROPIETARIO","","","","",
116,"Corona Nakamura María del Rocío","PRI","Representación Proporcional","Jalisco","D","PROPIETARIO","RocioCoronaNkm","rociocoronanakamura","","","http://pbs.twimg.com/profile_images/2382570793/k9fzado741e2mn8o602z_bigger.jpeg"
117,"Coronado Quintanilla Alberto","PAN","Mayoría Relativa","Nuevo León","D","PROPIETARIO","Coronadomx","Coronadomx","","","http://pbs.twimg.com/profile_images/3560899314/738ef95c78feaa3db57d9658314fc700_bigger.jpeg"
118,"Coronato Rodríguez José Francisco","MC","Mayoría Relativa","Morelos","D","PROPIETARIO","f_coronato","franciscocoronato","","www.franciscocoronato.com","http://pbs.twimg.com/profile_images/2023048554/foto_en_formato_peque_o_bigger.jpg"
119,"Corrales Corrales Francisca Elena","PRI","Mayoría Relativa","Sinaloa","D","PROPIETARIO","paquiscorrales","paquis.corrales","","","http://pbs.twimg.com/profile_images/437391499026640896/UH1fkXyj_bigger.jpeg"
120,"Cortázar Lara Gerardo Maximiliano","PAN","Representación Proporcional","Distrito Federal","D","PROPIETARIO","maxcortazarl","","","","http://pbs.twimg.com/profile_images/378800000406054776/3670a73005bdfdee5751a3e5abbedfaa_bigger.jpeg"
121,"Cortés Berumen Isaías","PAN","Representación Proporcional","Jalisco","D","PROPIETARIO","Isaias_Cortes","isaias.cortes.73","","","http://pbs.twimg.com/profile_images/3636703771/5392a3ea1f9bea8ed37e6aa39e475adb_bigger.jpeg"
122,"Cruz Mendoza Eufrosina","PAN","Representación Proporcional","Oaxaca","D","PROPIETARIO","EufrosinaOax","Eufrosina-Cruz-Mendoza/127327573950848","","http://www.quiego.org/","http://pbs.twimg.com/profile_images/3751282567/f6c7bf198a16f988506651fdebf3193b_bigger.jpeg"
123,"Cruz Morales Maricruz","PRI","Representación Proporcional","México","D","PROPIETARIO","","maricruz.c.morales","","",
124,"Cruz Ramírez Arturo","PRD","Mayoría Relativa","México","D","PROPIETARIO","","","","",
125,"Cuéllar Reyes Fernando","PRD","Mayoría Relativa","Distrito Federal","D","PROPIETARIO","","fernando.cuellarreyes","","",
126,"Cuéllar Steffan Antonio","PVEM","Representación Proporcional","Aguascalientes","D","PROPIETARIO","Cuellar_Steffan","antonio.c.steffan","","","http://pbs.twimg.com/profile_images/3642671302/9961766de999868ef6d4698e5ba2d2e3_bigger.jpeg"
127,"Cuevas Mena Mario Alejandro","PRD","Representación Proporcional","Yucatán","D","PROPIETARIO","","","","",
128,"Curi Naime Alberto","PRI","Mayoría Relativa","México","D","PROPIETARIO","AlbertoCuri","AlbertoCuriNaime","","","http://pbs.twimg.com/profile_images/2388612397/imb359mug7osgg2uzhon_bigger.jpeg"
129,"Dávila Delgado Mario Alberto","PAN","Mayoría Relativa","Coahuila","D","PROPIETARIO","mario_dipancoah","mario.daviladelgado","","http://mariodavila.mx/","http://pbs.twimg.com/profile_images/2480508994/image_bigger.jpg"
130,"De Jesús Alejandro Carlos","PRD","Mayoría Relativa","Guerrero","D","PROPIETARIO","","carlos.dejesusalejandro.7","","",
131,"De la Cruz Requena Rosalba","PRI","Mayoría Relativa","Tamaulipas","D","PROPIETARIO","Rosalbasextodis","Rosalba-De-la-Cruz-Requena/284018958344352","","","http://pbs.twimg.com/profile_images/1964519097/foto_ROSALBA_OK_bigger.jpg"
132,"De la Rosa Anaya Andrés","PAN","Representación Proporcional","Baja California","D","PROPIETARIO","Adelarosa14//AdelaRosaBC","","","",
133,"De la Rosa Escalante Arturo","PAN","Mayoría Relativa","Baja California Sur","D","PROPIETARIO","arturodelarosa_","Arturodelarosadiputado","","","http://pbs.twimg.com/profile_images/2196487383/Foto_Arturo-ok_dipt_low_bigger.jpg"
134,"De la Rosa Peláez Sebastián Alfonso","PRD","Mayoría Relativa","Guerrero","D","PROPIETARIO","Delarosapelaez","sebastiandelarosapelaez","","http://sebastiandelarosa.blogspot.mx/","http://pbs.twimg.com/profile_images/2598047198/6h5a264xwn1uavchaa55_bigger.jpeg"
135,"De la Vega Membrillo Jorge Federico","PRD","Mayoría Relativa","México","D","PROPIETARIO","","jorge.delavegamembrillo","","",
136,"De las Fuentes Hernández Fernando Donato","PRI","Mayoría Relativa","Coahuila","D","PROPIETARIO","","fernando.delasfuentes.1","","",
137,"Del Ángel Acosta Jorge","PRI","Representación Proporcional","Veracruz","D","PROPIETARIO","JDAADiputado","jorge.delangelacosta","","","http://pbs.twimg.com/profile_images/2549194735/hky6ct6hlrb3ieg89w27_bigger.jpeg"
138,"Del Moral Vela Paulina Alejandra","PRI","Mayoría Relativa","México","D","PROPIETARIO","AlejandraDMV","AlejandraDelMoralVela","alejandradelmoral1","","http://pbs.twimg.com/profile_images/459713679366180864/MOBx4-nU_bigger.jpeg"
139,"Delgadillo González Claudia","PRI","Mayoría Relativa","Jalisco","D","PROPIETARIO","ClauDelgadillo1","Claudia-Delgadillo-González/168661083194412","","www.esconclaudia.org","http://pbs.twimg.com/profile_images/434050880640274432/XXrSVGoH_bigger.jpeg"
140,"Díaz Athié Antonio de Jesús","PRI","Mayoría Relativa","Chiapas","D","PROPIETARIO","aDiazAthie","","","","http://pbs.twimg.com/profile_images/2347851757/y89eel238rxq762fk3pb_bigger.jpeg"
141,"Díaz Palacios Víctor Emanuel","PRI","Mayoría Relativa","Puebla","D","PROPIETARIO","victordoficial","victordoficial","","","http://abs.twimg.com/sticky/default_profile_images/default_profile_2_bigger.png"
142,"Díaz Trujillo Alberto","PAN","Mayoría Relativa","México","D","PROPIETARIO","betodiazt","alberto.d.trujillo.9","","","http://pbs.twimg.com/profile_images/378800000446651705/7efe03482120c371a9220aacbc28ce69_bigger.jpeg"
143,"Diego Cruz Eva","PRD","Mayoría Relativa","Oaxaca","D","PROPIETARIO","evdiec","eva.diegocruz","","","http://pbs.twimg.com/profile_images/453981596492632064/QBNpqaJY_bigger.jpeg"
144,"Diez Francos Juan Manuel","PRI","Mayoría Relativa","Veracruz","D","PROPIETARIO","juanmanuel10f//DiezFrancos","JuanManuelDiezFrancos","","",
145,"Doger Guerrero José Enrique","PRI","Mayoría Relativa","Puebla","D","PROPIETARIO","EnriqueDogerPue","Enrique-Doger-Guerrero/114847730537","","","http://pbs.twimg.com/profile_images/3752126584/d296ec618002a9f7c3249bcfc192b62b_bigger.jpeg"
